Questions,Blooms Taxonomy
"Bob Calculates the public key elements by choosing prime number q=19 using Elgamal cryptosystem.What are the values of other parameters such as ? & Ya? After getting all public components, Bob broadcasts public key to Alice. Alice performs the encryption by choosing message, M=10. Calculate the cipher texts performed by Alice. The private component of Bob and Alice are 4 and 6 respectively.",Analyze
"Use Rabin Cryptosystem and perform the encryption. Consider p=23 and q=7. Alice wants to send the plaintext, P=24. Which is the cipher text received by Bob? Calculate four possible values that Bob calculates.",Analyze
What is the role of SSL and TS?. Discuss architecture of SSL.,Analyze
Explain important components of public key cryptosystem. Give example of confidentiality and authentication with respect to public key cryptography.,Analyze
What are the limitations of symmetric key encryption? How does public key encryption overcome the limitations of symmetric key ecryption?,Analyze
"In Bitcoin case, blockchain is used in a __________way.",Remember
Which of the following statement is true about blockchain?,Remember
What is Proof of Stake?,Remember
Private Blockchain allows for faster transactions speeds.,Remember
"The function of ""address payable"" in solidity can",Remember
How to declare a mapping of address to boolean in Solidity?,Remember
Transaction fees is calculated from,Remember
What do you mean by Coinbase transaction?,Remember
Which of the following is used to point a block in blockchain?,Remember
Which of the following component in Bitcoin helps in determining the difficulty of the mining algorithm?,Remember
What are the components of Ethereum dApp?,Understand
What is purpose of Channel in Hypeledger Fabric network?,Understand
"Write a missing keyword in the blank. contract A { address admin; constructor() { admin = msg.sender; } function protected Function() external onlyAdmin() { ... } __________ onlyAdmin() { require(msg.sender == admin, 'only admin'); _; }}",Understand
What is a miner?,Remember
What characteristic makes Blockchain tamper-proof?,Remember
What does a ledger in Blockchain does?,Remember
"Asymmetric encryption uses one key for encryption, and a different key for decryption while symmetric encryption uses a single key for both encryption and decryption.",Remember
